tenor_years,zero_semi_pct,zero_annual_pct,par_semi_pct,discount_factor,fbil_zero_semi_pct,gap_bp
47.0,8.21389,8.38256,7.686359,0.022746,8.21,0.389012
47.25,8.203371,8.371609,7.684676,0.0224,8.21,-0.662889
47.5,8.192711,8.360513,7.68508,0.022061,8.2,-0.728861
47.75,8.181924,8.349283,7.68338,0.02173,8.19,-0.807626
48.0,8.171021,8.337935,7.683766,0.021406,8.18,-0.897903
48.25,8.160016,8.326481,7.682051,0.021089,8.17,-0.998414
48.5,8.148921,8.314933,7.682424,0.020779,8.16,-1.10788
48.75,8.13775,8.303307,7.680701,0.020475,8.15,-1.225021
49.0,8.126514,8.291615,7.681066,0.020177,8.15,-2.348558
49.25,8.115228,8.27987,7.679338,0.019885,8.14,-2.477212
49.5,8.103903,8.268086,7.679698,0.019599,8.13,-2.609703
49.75,8.092552,8.256276,7.677971,0.019318,8.12,-2.744753
50.0,8.081189,8.244453,7.678331,0.019042,8.11,-2.881082
