tenor_years,zero_semi_annual_pct,zero_annualised_pct,par_semi_annual_pct,discount_factor,fbil_zero_semi_annual_pct,fbil_par_semi_annual_pct,zero_diff_bp,par_diff_bp
39.75,8.400235,8.576645,7.692031,0.037973,8.39,7.69,1.023499,0.203093
40.0,8.399357,8.57573,7.693515,0.037213,8.39,7.69,0.935674,0.3515
40.25,8.397971,8.574286,7.692797,0.036474,8.38,7.69,1.797131,0.27969
40.5,8.396087,8.572323,7.694144,0.035758,8.38,7.69,1.608698,0.414438
40.75,8.393717,8.569853,7.693298,0.035063,8.38,7.69,1.371656,0.329828
41.0,8.390873,8.56689,7.694521,0.034388,8.37,7.69,2.087282,0.45209
41.25,8.387569,8.563447,7.693559,0.033733,8.37,7.69,1.756857,0.355856
41.5,8.383817,8.559538,7.694668,0.033096,8.36,7.69,2.38166,0.466774
41.75,8.37963,8.555175,7.6936,0.032478,8.36,7.69,1.962969,0.360008
42.0,8.375021,8.550373,7.694606,0.031878,8.35,7.69,2.502064,0.46064
42.25,8.370002,8.545145,7.693444,0.031294,8.35,7.69,2.000225,0.34436
42.5,8.364587,8.539503,7.694357,0.030727,8.34,7.69,2.45873,0.435692
42.75,8.358789,8.533462,7.693108,0.030175,8.34,7.69,1.878858,0.310845
43.0,8.352619,8.527034,7.693938,0.029639,8.33,7.69,2.261889,0.393797
43.25,8.346091,8.520234,7.692613,0.029118,8.33,7.69,1.609103,0.261265
43.5,8.339218,8.513074,7.693367,0.028611,8.32,7.69,1.921777,0.336695
43.75,8.332012,8.505568,7.691973,0.028117,8.31,7.69,2.201192,0.197303
44.0,8.324486,8.497729,7.69266,0.027637,8.31,7.69,1.448627,0.266013
44.25,8.316654,8.48957,7.691205,0.027169,8.3,7.69,1.665361,0.120533
44.5,8.308527,8.481106,7.691833,0.026714,8.29,7.69,1.852672,0.183275
44.75,8.300118,8.472348,7.690324,0.026271,8.28,7.69,2.011841,0.032429
45.0,8.291441,8.463311,7.690899,0.025839,8.28,7.69,1.144147,0.089909
45.25,8.282509,8.454009,7.689344,0.025418,8.27,7.69,1.250868,-0.065623
45.5,8.273333,8.444453,7.689873,0.025007,8.26,7.69,1.333285,-0.012743
45.75,8.263927,8.434658,7.688277,0.024607,8.25,7.69,1.392675,-0.172323
46.0,8.254303,8.424637,7.688766,0.024217,8.25,7.69,0.430319,-0.123418
46.25,8.244475,8.414403,7.687136,0.023836,8.24,7.68,0.447495,0.713556
46.5,8.234455,8.40397,7.687591,0.023464,8.23,7.69,0.445484,-0.240923
46.75,8.224256,8.393352,7.685932,0.023101,8.22,7.68,0.425563,0.593174
47.0,8.21389,8.38256,7.686359,0.022746,8.21,7.68,0.389012,0.635868
47.25,8.203371,8.371609,7.684676,0.0224,8.21,7.68,-0.662889,0.467627
47.5,8.192711,8.360513,7.68508,0.022061,8.2,7.68,-0.728861,0.508024
47.75,8.181924,8.349283,7.68338,0.02173,8.19,7.68,-0.807626,0.337955
48.0,8.171021,8.337935,7.683766,0.021406,8.18,7.68,-0.897903,0.376557
48.25,8.160016,8.326481,7.682051,0.021089,8.17,7.68,-0.998414,0.205146
48.5,8.148921,8.314933,7.682424,0.020779,8.16,7.68,-1.10788,0.242432
48.75,8.13775,8.303307,7.680701,0.020475,8.15,7.68,-1.225021,0.070141
49.0,8.126514,8.291615,7.681066,0.020177,8.15,7.68,-2.348558,0.106567
49.25,8.115228,8.27987,7.679338,0.019885,8.14,7.68,-2.477212,-0.066161
49.5,8.103903,8.268086,7.679698,0.019599,8.13,7.68,-2.609703,-0.030159
49.75,8.092552,8.256276,7.677971,0.019318,8.12,7.68,-2.744753,-0.202904
50.0,8.081189,8.244453,7.678331,0.019042,8.11,7.68,-2.881082,-0.166909
