tenor_years,fbil_zero_semi,exact_zero_semi,exact_diff_bp,smooth_zero_semi,smooth_diff_bp,fbil_par_semi,exact_par_semi,smooth_par_semi,exact_par_diff_bp,smooth_par_diff_bp
37.75,8.4,8.45393,5.39341,8.39055,-0.94527,7.69,7.70244,7.68618,1.24442,-0.38168
38.0,8.4,8.41773,1.77318,8.39325,-0.67496,7.69,7.69942,7.68823,0.94156,-0.1769
38.25,8.4,8.38225,-1.77546,8.39556,-0.44443,7.69,7.69434,7.68806,0.4337,-0.19363
38.5,8.4,8.35102,-4.89831,8.39745,-0.25512,7.69,7.69191,7.68997,0.19126,-0.00296
38.75,8.4,8.3273,-7.26962,8.39892,-0.10844,7.69,7.68834,7.68967,-0.16617,-0.03349
39.0,8.4,8.31113,-8.88658,8.39994,-0.00581,7.69,7.68784,7.69143,-0.21564,0.14307
39.25,8.4,8.30049,-9.95135,8.40051,0.05133,7.69,7.68594,7.69099,-0.40585,0.09874
39.5,8.39,8.29331,-9.66938,8.40062,1.06158,7.69,7.68658,7.69261,-0.3418,0.26121
39.75,8.39,8.28755,-10.24503,8.40023,1.0235,7.69,7.68529,7.69203,-0.47111,0.20309
40.0,8.39,8.28191,-10.8092,8.39936,0.93567,7.69,7.68611,7.69351,-0.389,0.3515
40.25,8.38,8.27627,-10.37296,8.39797,1.79713,7.69,7.68482,7.6928,-0.51751,0.27969
40.5,8.38,8.27064,-10.93632,8.39609,1.6087,7.69,7.68564,7.69414,-0.43625,0.41444
40.75,8.38,8.26501,-11.49929,8.39372,1.37166,7.69,7.68435,7.6933,-0.56524,0.32983
41.0,8.37,8.25938,-11.06187,8.39087,2.08728,7.69,7.68515,7.69452,-0.48475,0.45209
41.25,8.37,8.25376,-11.62409,8.38757,1.75686,7.69,7.68386,7.69356,-0.61416,0.35586
41.5,8.36,8.24814,-11.18595,8.38382,2.38166,7.69,7.68466,7.69467,-0.53436,0.46677
